번호,corp_code,fy,기업명,kam_title,kam_type,type_source
1,00370006,2025,(주)아이엠비씨,특수관계자와의 거래에 대한 발생사실과 재무제표 표시,특수관계자거래,rule
2,01264438,2025,(주)자이언트스텝,영업권 손상검토,영업권 손상,rule
3,00259590,2025,(주)바른손이앤에이,영업수익의 발생사실 및 기간귀속,수익인식,rule
4,00985686,2025,(주)큐브엔터테인먼트,경영진의 판단을 요하는 수익인식 측정의 적정성,수익인식,rule
5,00925295,2025,(주)에프엔씨엔터테인먼트,수익인식의 발생사실,수익인식,rule
6,00397252,2025,(주)조이시티,이연법인세자산의 실현가능성 평가,이연법인세,rule
7,01364297,2025,(주)코퍼스코리아,영업권 손상검토,영업권 손상,rule
8,01267222,2025,(주)에피소드컴퍼니,관계기업투자주식의 손상평가,종속·관계기업투자 평가,rule
9,01508855,2025,(주)블리츠웨이엔터테인먼트,수익인식기간 귀속의 적정성,수익인식,rule
10,00208134,2025,(주)케이엔엔,매출 인식,수익인식,rule
11,00613318,2025,(주)와이지엔터테인먼트,음반 및 음원매출의 발생사실 및 기간귀속,수익인식,rule
12,01605282,2025,(주)닷밀,주요 현장에 대하여 공사변경에 따른 추가계약원가 추정액이 총계약원가 산정에 반영되었는지 확인,수익인식,llm
13,01116502,2025,(주)아티스트컴퍼니,매니지먼트 매출의 수익인식 기준 검토,수익인식,rule
14,00348292,2025,(주)한빛소프트,관계기업투자 손상검사,종속·관계기업투자 평가,rule
15,00348034,2025,(주)액토즈소프트,온라인게임매출의 기간귀속,수익인식,rule
