corp_code,기업명,군,fy,has_report,has_gc,adverse,opinion,auditor,n_kam,sig_t1,why_t1,sig_t2,why_t2,sig_2y,sadv_t1,smiss_t1,sadv_t2,smiss_t2,sigB_t1,sigB_t2,sigB_2y
122339,(주)이매진아시아,콘텐츠,2019,1,0,1,의견거절,울시 서초구 반포대로 306 이정지율회계법인,0,1.0,비적정의견,1.0,보고서 제출 중단,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0
122339,(주)이매진아시아,콘텐츠,2020,1,0,1,의견거절,2020년 12월 31일 까지 대주회계법인,0,1.0,보고서 제출 중단,1.0,보고서 제출 중단,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0
130772,(주)SBS,콘텐츠,2019,1,0,0,적정,2018년 12월 31일 까지 한영회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130772,(주)SBS,콘텐츠,2020,1,0,0,적정,,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130772,(주)SBS,콘텐츠,2021,1,0,0,적정,,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130772,(주)SBS,콘텐츠,2022,1,0,0,적정,,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130772,(주)SBS,콘텐츠,2023,1,0,0,적정,,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
130772,(주)SBS,콘텐츠,2024,1,0,0,적정,,1,,,,,,,,,,,,
140131,(주)키다리스튜디오,콘텐츠,2019,1,0,0,적정,018년 12월 31일 까지 성도이현회계법인,0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140131,(주)키다리스튜디오,콘텐츠,2020,1,0,0,적정,시 강남구 테헤란로 88길 14 한울회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140131,(주)키다리스튜디오,콘텐츠,2021,1,0,0,적정,,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140131,(주)키다리스튜디오,콘텐츠,2022,1,0,0,적정,2021년 12월 31일 까지 한울회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140131,(주)키다리스튜디오,콘텐츠,2023,1,0,0,적정,,1,0.0,,,,0.0,0.0,0.0,,,0.0,,0.0
140131,(주)키다리스튜디오,콘텐츠,2024,1,0,0,적정,,1,,,,,,,,,,,,
145437,주식회사 아센디오,콘텐츠,2019,1,1,0,적정,2018년 12월 31일 까지 태율회계법인,0,1.0,GC 재기재,0.0,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145437,주식회사 아센디오,콘텐츠,2020,1,1,0,적정,결자본변동표 및 연결현금흐름표는 태율회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145437,주식회사 아센디오,콘텐츠,2021,1,0,0,적정,결자본변동표 및 연결현금흐름표는 신한회계법인,1,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
