corp_code,fy,기업명,군,업종코드,rcept_no,is_amend,doc_name,doc_type,kam_section_found,no_kam_stated,n_kam,has_gc,gc_text,opinion,opinion_basis,auditor,n_sections,sections
00122339,2019,(주)이매진아시아,콘텐츠,591,20200330003013,0,연결감사보고서,연결,0,0,0,0,,의견거절,"우리는 다음 사항과 관련하여 연결재무제표에 공시된 유의적 불확실성의 영향을 고려하였습니다. 1. 감사범위 제한 우리는 주요 자산의 취득, 처분 및 자금거래 등과 관련한 자금 흐름과 거래의 타당성, 그리고 연결범위의 판단을 위한 충분하고 적합한 증거를 확보하지 못하였으며, 대체적인 절차에 의해서도 만족할만한 결과를 얻지 못하였습니다. 이로 인하여 자산ㆍ부채의 실재성, 완전성, 거래의 발생사실 및 타당성, 자산의 평가와 관련된 연결재무제표의 구성요소에 관하여 추가적인 수정이 필요한지 여부를 결정할 수 없었습니다. 2. 특수관계자 범위 및 거래내역 연결회사가 제시한 특수관계자 및 특수관계자와의 거래내역에 대해 특수관계자 범위 및 거래에 대한 완전성과 정확성을 판단할 충분하고 적합한 감사증거를 확보하지 못하였습니다. 이로 인하여 연결재무제표의 구성요소에 관하여 추가적인 수정이 필요한지 여부를 결정할 수 없었습니다. 3. 계속기업가정의 불확실 연결회사의 연결재무제표는 연결회사가 계속기업으로서 존속한다는 가정을 전제로 작성되었으므로 연결회사의 자산과 부채가 정상적인 영업활동과정을 통하여 회수되거나 상환될 수 있다는 가정하에 회계처리 되었습니다. 그러나 연결회사가 우리에게 제시한 2019년 12월 31일로 종료되는 보고기간의 연결재무제표에서 당기 및 전기에 각각 3,780백만원과 3,944백만원의 영업손실과 각각 19,846백만원 및 11,827백만원의 지배기업소유지지분당기순손실이 발생하였습니다. 이로써 당기말 현재 누적결손금은 97,430백만원이며 자본잠식률은 88.9%에 달하고 있습니다. 또한, 연결회사는 보고서일 현재 상장폐지결정되어 2019년 12월 4일에 코스닥시장위원회로부터 1년간의 개선기간을 부여받았습니다. 이러한 상황은 연결회사의 계속기업으로서 존속능력에 유의적인 의문을 제기하는 바, 계속기업으로서의 존속여부는 연결회사의 향후 자금조달계획 및 경영개선계획 등 자구계획의 성패에 따라 좌우되는 중요한 불확실성을 내포하고 있습니다. 우리는 이러한 불확실성의 최종결과로 발생할 수 있는 자산과 부채 그리고 관련 손익항목 및 주석에 대한 수정사항을 합리적으로 추정할 수 있는 증거를 확보할 수 없었습니다.",울시 서초구 반포대로 306 이정지율회계법인,5,의견거절 근거|강조사항|기타사항|연결재무제표에 대한 경영진과 지배기구의 책임|연결재무제표감사에 대한 감사인의 책임
00122339,2020,(주)이매진아시아,콘텐츠,591,20210326000292,0,연결감사보고서,연결,0,0,0,0,,의견거절,"(1) 감사범위의 제한 2019년 12월 31일로 종료하는 보고기간의 연결재무제표는 이정지율회계법인이 감사하였으며, 2020년 3월 19일자 감사보고서에서 감사의견을 표명하지 아니하였습니다. 동 사유로 인하여, 우리는 연결회사의 2020년 1월 1일자 연결재무제표에 대한 충분하고 적합한 증거를 확보하지 못하였으며, 대체적인 방법에 의하여도 기초연결재무제표에 대해 만족할 만한 결과를 얻지 못하였습니다. 이로 인하여, 기초연결재무제표에 포함되었을 수도 있는 왜곡표시가 2020년 12월 31일 현재의 재무상태 및 동일로 종료하는 보고기간의 재무성과와 현금흐름에 미치는 영향을 결정할 수 없었습니다. 또한, 우리는 연결회사의 핵심인력 퇴사 등의 사유로 2020년 12월 31일로 종료되는 보고기간의 연결재무제표에 대한 감사절차 실시를 위한 주요 자산의 취득, 처분 및 자금거래 등과 관련하여 자금 흐름과 거래의 타당성 판단을 위한 충분하고 적합한 증거를 확보하지 못하였으며, 대체적인 절차에 의해서도 만족할만한 결과를 얻지 못하였습니다. 이로 인하여 자산ㆍ부채의 실재성, 완전성, 거래의 발생사실 및 타당성, 자산의 평가 및 주석사항을 위한 충분하고 적합한 감사증거를 입수하지 못하였습니다. (2) 계속기업가정의 불확실성 연결회사의 연결재무제표는 연결회사가 계속기업으로서 존속한다는 가정을 전제로 작성되었으므로 연결회사의 자산과 부채가 정상적인 영업활동과정을 통하여 회수되거나 상환될 수 있다는 가정하에 회계처리 되었습니다. 그러나 연결회사는 2020년 12월 31일로 종료되는 보고기간에 2,364백만원의 영업손실과 12,887백만원의 당기순손실이 발생하여, 당기말 현재 누적결손금은 110,313백만원이며 완전자본잠식상태입니다. 또한, 연결회사는 감사보고서일 현재 상장폐지결정되었으며, 서울회생법원으로부터 2020년 7월 8일자로 회생절차 개시결정을 받은 후 2021년 3월 5일 회생절차 폐지결정을 받았습니다. 이러한 상황은 연결회사의 계속기업으로서 존속능력에 유의적인 의문을 제기하는 바, 계속기업으로서의 존속여부는 연결회사의 향후 자금조달계획 및 경영개선계획 등 자구계획의성패에 따라 좌우되는 중요한 불확실성을 내포하고 있습니다. 우리는 이러한 불확실성의 최종결과로 발생할 수 있는 자산과 부채 그리고 관련 손익항목 및 주석에 대한 수정사항을 합리적으로 추정할 수 있는 증거를 확보할 수 없었습니다.",는 보고기간의 연결재무제표는 이정지율회계법인,5,의견거절근거|강조사항|기타사항|연결재무제표에 대한 경영진과 지배기구의 책임|연결재무제표감사에 대한 감사인의 책임
00130772,2019,(주)SBS,콘텐츠,60210,20200330002425,0,연결감사보고서,연결,1,0,1,0,,적정,,2018년 12월 31일 까지 한영회계법인,4,감사의견근거|핵심감사사항|연결재무제표에 대한 경영진과 지배기구의 책임|연결재무제표감사에 대한 감사인의 책임
00130772,2020,(주)SBS,콘텐츠,60210,20210318000400,0,연결감사보고서,연결,1,0,1,0,,적정,,,5,감사의견근거|핵심감사사항|기타사항|연결재무제표에 대한 경영진과 지배기구의 책임|연결재무제표감사에 대한 감사인의 책임
00130772,2021,(주)SBS,콘텐츠,60210,20220317001064,0,연결감사보고서,연결,1,0,1,0,,적정,,,5,감사의견근거|핵심감사사항|연결재무제표에 대한 경영진과 지배기구의 책임|연결재무제표감사에 대한 감사인의 책임|강조사항
00130772,2022,(주)SBS,콘텐츠,60210,20230316000964,0,연결감사보고서,연결,1,0,0,0,,적정,,,4,감사의견근거|핵심감사사항|연결재무제표에 대한 경영진과 지배기구의 책임|연결재무제표감사에 대한 감사인의 책임
00130772,2023,(주)SBS,콘텐츠,60210,20240321001674,0,연결감사보고서,연결,1,0,1,0,,적정,,,5,감사의견근거|핵심감사사항|기타사항|연결재무제표에 대한 경영진과 지배기구의 책임|연결재무제표감사에 대한 감사인의 책임
00130772,2024,(주)SBS,콘텐츠,60210,20250320001108,0,연결감사보고서,연결,1,0,1,0,,적정,,,4,감사의견근거|핵심감사사항|연결재무제표에 대한 경영진과 지배기구의 책임|연결재무제표감사에 대한 감사인의 책임
00130772,2025,(주)SBS,콘텐츠,60210,20260319001224,0,연결감사보고서,연결,1,0,1,0,,적정,,,4,감사의견근거|핵심감사사항|연결재무제표에 대한 경영진과 지배기구의 책임|연결재무제표감사에 대한 감사인의 책임
00140131,2019,(주)키다리스튜디오,콘텐츠,631,20200330003517,0,연결감사보고서,연결,0,0,0,0,,적정,,018년 12월 31일 까지 성도이현회계법인,3,감사의견근거|재무제표에 대한 경영진과 지배기구의 책임|재무제표감사에 대한 감사인의 책임
