corp_code,fy,rcept_no,rcept_dt,report_nm,is_amend,기업명,군,업종코드,cand_rank
00122339,2019,20200619000475,20200619,[기재정정]사업보고서 (2019.12),1,(주)이매진아시아,콘텐츠,591,0
00122339,2019,20200330003013,20200330,사업보고서 (2019.12),0,(주)이매진아시아,콘텐츠,591,1
00122339,2020,20210326000292,20210326,사업보고서 (2020.12),0,(주)이매진아시아,콘텐츠,591,0
00130772,2019,20200330002425,20200330,사업보고서 (2019.12),0,(주)SBS,콘텐츠,60210,0
00130772,2020,20210318000400,20210318,사업보고서 (2020.12),0,(주)SBS,콘텐츠,60210,0
00130772,2021,20220317001064,20220317,사업보고서 (2021.12),0,(주)SBS,콘텐츠,60210,0
00130772,2022,20230316000964,20230316,사업보고서 (2022.12),0,(주)SBS,콘텐츠,60210,0
00130772,2023,20240321001674,20240321,사업보고서 (2023.12),0,(주)SBS,콘텐츠,60210,0
00130772,2024,20250320001108,20250320,사업보고서 (2024.12),0,(주)SBS,콘텐츠,60210,0
00130772,2025,20260319001224,20260319,사업보고서 (2025.12),0,(주)SBS,콘텐츠,60210,0
00140131,2019,20200330003517,20200330,사업보고서 (2019.12),0,(주)키다리스튜디오,콘텐츠,631,0
00140131,2020,20210318000957,20210318,사업보고서 (2020.12),0,(주)키다리스튜디오,콘텐츠,631,0
00140131,2021,20220317000876,20220317,사업보고서 (2021.12),0,(주)키다리스튜디오,콘텐츠,631,0
00140131,2022,20230316001551,20230316,사업보고서 (2022.12),0,(주)키다리스튜디오,콘텐츠,631,0
00140131,2023,20240318000710,20240318,사업보고서 (2023.12),0,(주)키다리스튜디오,콘텐츠,631,0
00140131,2024,20250319000526,20250319,사업보고서 (2024.12),0,(주)키다리스튜디오,콘텐츠,631,0
00140131,2025,20260317000560,20260317,사업보고서 (2025.12),0,(주)키다리스튜디오,콘텐츠,631,0
00145437,2019,20250819000195,20250819,[기재정정]사업보고서 (2019.12),1,주식회사 아센디오,콘텐츠,591,0
