corp_code,기업명,종목코드,업종코드,업종,군
00252393,(주)예당컴퍼니,49000,59201,오디오물·음반,콘텐츠
00255071,(주)현대에이치씨엔동작방송,34750,60222,텔레비전 방송,콘텐츠
00838421,씨제이이앤엠(주),130960,602,텔레비전 방송,콘텐츠
00232496,(주)씨그널엔터테인먼트그룹,99830,591,영상·방송프로그램 제작/배급/상영,콘텐츠
00122339,(주)이매진아시아,36260,591,영상·방송프로그램 제작/배급/상영,콘텐츠
00650629,SBS미디어홀딩스(주),101060,602,텔레비전 방송,콘텐츠
00207755,(주)지에스홈쇼핑,28150,602,텔레비전 방송,콘텐츠
01303029,주식회사 알비더블유,361570,59201,오디오물·음반,콘텐츠
00347877,(주)세영디앤씨,52190,901,창작·예술 서비스,콘텐츠
00975290,(주)에이스토리,241840,591,영상·방송프로그램 제작/배급/상영,콘텐츠
00974927,(주)넥스트엔터테인먼트월드,160550,591,영상·방송프로그램 제작/배급/상영,콘텐츠
00258689,(주)제이와이피엔터테인먼트,35900,59201,오디오물·음반,콘텐츠
00925295,(주)에프엔씨엔터테인먼트,173940,901,창작·예술 서비스,콘텐츠
01047840,미스터블루(주),207760,63991,기타 정보서비스,콘텐츠
01139965,주식회사 스튜디오미르,408900,59112,영상·방송프로그램 제작/배급/상영,콘텐츠
01343735,주식회사 데이드림엔터테인먼트,348840,591,영상·방송프로그램 제작/배급/상영,콘텐츠
00359474,(주)제이웨이,58420,59130,영상·방송프로그램 제작/배급/상영,콘텐츠
01335578,(주)애니플러스,310200,591,영상·방송프로그램 제작/배급/상영,콘텐츠
00353762,(주)키이스트,54780,59130,영상·방송프로그램 제작/배급/상영,콘텐츠
00260930,(주)에스엠엔터테인먼트,41510,59201,오디오물·음반,콘텐츠
00265324,(주)씨제이이엔엠,35760,602,텔레비전 방송,콘텐츠
00364795,(주)레드로버,60300,59112,영상·방송프로그램 제작/배급/상영,콘텐츠
01204056,(주)하이브,352820,592,오디오물·음반,콘텐츠
00299464,(주)초록뱀미디어,47820,59114,영상·방송프로그램 제작/배급/상영,콘텐츠
00303873,씨제이씨지브이(주),79160,59141,영상·방송프로그램 제작/배급/상영,콘텐츠
00397191,(주)팬엔터테인먼트,68050,59114,영상·방송프로그램 제작/배급/상영,콘텐츠
01186404,주식회사 디앤씨미디어,263720,581,출판(웹툰·웹소설 IP / 교육출판 혼재),콘텐츠
00223762,(주)케이티지니뮤직,43610,603,기타 방송·음원서비스,콘텐츠
00301112,(주)삼화네트웍스,46390,59120,영상·방송프로그램 제작/배급/상영,콘텐츠
00613318,(주)와이지엔터테인먼트,122870,59201,오디오물·음반,콘텐츠
00370006,(주)아이엠비씨,52220,603,기타 방송·음원서비스,콘텐츠
00303794,(주)쇼박스,86980,59130,영상·방송프로그램 제작/배급/상영,콘텐츠
01168684,스튜디오드래곤(주),253450,59114,영상·방송프로그램 제작/배급/상영,콘텐츠
01605282,(주)닷밀,464580,591,영상·방송프로그램 제작/배급/상영,콘텐츠
00259590,(주)바른손이앤에이,35620,591,영상·방송프로그램 제작/배급/상영,콘텐츠
00203315,(주)콘텐트리중앙,36420,591,영상·방송프로그램 제작/배급/상영,콘텐츠
00657987,(주)케이엑스이노베이션,122450,60221,텔레비전 방송,콘텐츠
01046203,(주)로아앤코홀딩스,204630,901,창작·예술 서비스,콘텐츠
00204642,(주)티비씨,33830,60210,텔레비전 방송,콘텐츠
00208134,(주)케이엔엔,58400,60210,텔레비전 방송,콘텐츠
01584934,(주)핑거스토리,417180,63991,기타 정보서비스,콘텐츠
00349097,(주)케이티스카이라이프,53210,60229,텔레비전 방송,콘텐츠
00154426,(주)아이에이치큐,3560,591,영상·방송프로그램 제작/배급/상영,콘텐츠
00146427,한주에이알티(주),58450,591,영상·방송프로그램 제작/배급/상영,콘텐츠
00222532,(주)엘지헬로비전,37560,60222,텔레비전 방송,콘텐츠
00814786,(주)티엔엔터테인먼트,131100,591,영상·방송프로그램 제작/배급/상영,콘텐츠
01082418,(주)에스에이엠지엔터테인먼트,419530,59112,영상·방송프로그램 제작/배급/상영,콘텐츠
00200275,(주)와이티엔,40300,591,영상·방송프로그램 제작/배급/상영,콘텐츠
01276327,(주)위지윅스튜디오,299900,59120,영상·방송프로그램 제작/배급/상영,콘텐츠
01508855,(주)블리츠웨이엔터테인먼트,369370,901,창작·예술 서비스,콘텐츠
01138364,더핑크퐁컴퍼니(주),403850,591,영상·방송프로그램 제작/배급/상영,콘텐츠
00130772,(주)SBS,34120,60210,텔레비전 방송,콘텐츠
00173449,(주)빌리언스,44480,901,창작·예술 서비스,콘텐츠
00991225,(주)더콘텐츠온,302920,59130,영상·방송프로그램 제작/배급/상영,콘텐츠
01513699,주식회사 포바이포,389140,59113,영상·방송프로그램 제작/배급/상영,콘텐츠
00990396,(주)레드우즈,266170,59114,영상·방송프로그램 제작/배급/상영,콘텐츠
00608699,주식회사 탑코미디어,134580,631,포털·콘텐츠 플랫폼,콘텐츠
00364467,(주)드림어스컴퍼니,60570,603,기타 방송·음원서비스,콘텐츠
01021949,(주)덱스터스튜디오,206560,59120,영상·방송프로그램 제작/배급/상영,콘텐츠
01704680,(주)엠83,476080,59111,영상·방송프로그램 제작/배급/상영,콘텐츠
01406265,주식회사 와이랩,432430,591,영상·방송프로그램 제작/배급/상영,콘텐츠
01264438,(주)자이언트스텝,289220,59113,영상·방송프로그램 제작/배급/상영,콘텐츠
