기업명,군,fy,opinion,sig_t1,why_t1,sig_2y,why_t2
(주)위메이드맥스,게임,2019,적정,0.0,,0.0,
(주)넥스쳐,게임,2020,의견거절,1.0,"비적정의견, GC 재기재",1.0,"비적정의견, GC 재기재"
(주)팡스카이,게임,2020,적정,1.0,GC 재기재,1.0,GC 재기재
(주)넥스쳐,게임,2021,의견거절,1.0,"비적정의견, GC 재기재",1.0,"비적정의견, GC 재기재"
(주)팡스카이,게임,2021,적정,1.0,GC 재기재,1.0,GC 재기재
(주)넥스쳐,게임,2022,의견거절,1.0,"비적정의견, GC 재기재",1.0,"비적정의견, GC 재기재"
(주)애닉,게임,2022,적정,1.0,GC 재기재,1.0,보고서 제출 중단
(주)팡스카이,게임,2022,적정,1.0,GC 재기재,1.0,비적정의견
(주)넥스쳐,게임,2023,의견거절,1.0,"비적정의견, GC 재기재",1.0,"비적정의견, GC 재기재"
(주)애닉,게임,2023,적정,1.0,보고서 제출 중단,1.0,보고서 제출 중단
(주)팡스카이,게임,2023,적정,1.0,비적정의견,1.0,비적정의견
(주)넥스쳐,게임,2024,의견거절,1.0,"비적정의견, GC 재기재",1.0,
(주)넥스쳐,게임,2025,의견거절,,,,
(주)레드로버,콘텐츠,2019,적정,1.0,GC 재기재,1.0,비적정의견
(주)레드우즈,콘텐츠,2019,적정,1.0,GC 재기재,1.0,GC 재기재
(주)씨씨에스충북방송,콘텐츠,2019,적정,1.0,GC 재기재,1.0,
(주)판타지오,콘텐츠,2019,적정,0.0,,0.0,
(주)레드로버,콘텐츠,2020,적정,1.0,비적정의견,1.0,"비적정의견, GC 재기재"
(주)레드우즈,콘텐츠,2020,적정,1.0,GC 재기재,1.0,GC 재기재
(주)씨씨에스충북방송,콘텐츠,2020,적정,0.0,,0.0,
(주)제이웨이,콘텐츠,2020,의견거절,1.0,"비적정의견, GC 재기재",1.0,비적정의견
주식회사 데이드림엔터테인먼트,콘텐츠,2020,적정,1.0,GC 재기재,1.0,GC 재기재
주식회사 아센디오,콘텐츠,2020,적정,0.0,,0.0,
(주)레드우즈,콘텐츠,2021,적정,1.0,GC 재기재,1.0,GC 재기재
(주)제이웨이,콘텐츠,2021,의견거절,1.0,비적정의견,1.0,보고서 제출 중단
(주)티엔엔터테인먼트,콘텐츠,2021,적정,0.0,,0.0,
주식회사 데이드림엔터테인먼트,콘텐츠,2021,적정,1.0,GC 재기재,1.0,보고서 제출 중단
(주)레드로버,콘텐츠,2022,의견거절,1.0,"비적정의견, GC 재기재",1.0,"비적정의견, GC 재기재"
(주)레드우즈,콘텐츠,2022,적정,1.0,GC 재기재,1.0,GC 재기재
(주)아이에이치큐,콘텐츠,2022,의견거절,1.0,"비적정의견, GC 재기재",1.0,비적정의견
주식회사 데이드림엔터테인먼트,콘텐츠,2022,적정,1.0,보고서 제출 중단,1.0,보고서 제출 중단
(주)레드로버,콘텐츠,2023,의견거절,1.0,"비적정의견, GC 재기재",1.0,"비적정의견, GC 재기재"
(주)레드우즈,콘텐츠,2023,적정,1.0,GC 재기재,1.0,비적정의견
(주)아이에이치큐,콘텐츠,2023,의견거절,1.0,비적정의견,1.0,비적정의견
(주)레드로버,콘텐츠,2024,의견거절,1.0,"비적정의견, GC 재기재",1.0,
(주)레드우즈,콘텐츠,2024,적정,1.0,비적정의견,1.0,
(주)로아앤코홀딩스,콘텐츠,2024,한정의견,1.0,"비적정의견, GC 재기재",1.0,
한주에이알티(주),콘텐츠,2024,적정,1.0,GC 재기재,1.0,
(주)더콘텐츠온,콘텐츠,2025,적정,,,,
(주)레드로버,콘텐츠,2025,의견거절,,,,
(주)로아앤코홀딩스,콘텐츠,2025,한정의견,,,,
한주에이알티(주),콘텐츠,2025,적정,,,,
