유형,콘텐츠_항목,게임_항목,p_항목,sig_항목,콘텐츠_기업,게임_기업,p_기업,sig_기업
종속·관계기업투자 평가,15.6%,26.9%,0.004,**,19/64,13/23,0.0421,*
유형·비유동자산 손상,2.9%,0.0%,0.0399,*,4/64,0/23,0.5695,
이연법인세,1.6%,4.8%,0.0537,,3/64,3/23,0.1859,
콘텐츠·제작비 자산,4.0%,0.7%,0.0835,,5/64,1/23,1.0,
특수관계자거래,3.7%,1.4%,0.2562,,5/64,1/23,1.0,
사업결합,1.3%,2.8%,0.2709,,5/64,4/23,0.2362,
수익인식,33.3%,29.7%,0.4652,,44/64,18/23,0.435,
금융상품 공정가치·평가,8.5%,6.2%,0.4695,,13/64,4/23,1.0,
매출채권·대손,1.6%,0.7%,0.6795,,3/64,1/23,1.0,
리스,1.1%,0.7%,1.0,,4/64,1/23,1.0,
영업권 손상,25.9%,26.2%,1.0,,29/64,11/23,1.0,
재고자산,0.3%,0.0%,1.0,,1/64,0/23,1.0,
충당부채·소송·우발,0.3%,0.0%,1.0,,1/64,0/23,1.0,
