직전연도_KAM유형,GC기재군,대조군,GC군_비율,대조군_비율,p,sig
수익인식,0/4,128/289,0.0%,44.3%,0.1344,
콘텐츠·제작비 자산,1/4,12/289,25.0%,4.2%,0.1668,
특수관계자거래,1/4,12/289,25.0%,4.2%,0.1668,
종속·관계기업투자 평가,0/4,72/289,0.0%,24.9%,0.5753,
영업권 손상,2/4,93/289,50.0%,32.2%,0.5976,
사업결합,0/4,9/289,0.0%,3.1%,1.0,
금융상품 공정가치·평가,0/4,31/289,0.0%,10.7%,1.0,
리스,0/4,5/289,0.0%,1.7%,1.0,
이연법인세,0/4,10/289,0.0%,3.5%,1.0,
유형·비유동자산 손상,0/4,9/289,0.0%,3.1%,1.0,
매출채권·대손,0/4,7/289,0.0%,2.4%,1.0,
재고자산,0/4,1/289,0.0%,0.3%,1.0,
충당부채·소송·우발,0/4,0/289,0.0%,0.0%,1.0,
