경로,기업명,군,선행연도,선행기재,후행연도,후행기재,간격,사유일치,일치
KAM → 계속기업 불확실성,(주)레드로버,콘텐츠,2019,콘텐츠·제작비 자산,2020,계속기업 불확실성,1,,
KAM → 계속기업 불확실성,(주)레드로버,콘텐츠,2020,콘텐츠·제작비 자산,2022,계속기업 불확실성,2,,
KAM → 계속기업 불확실성,(주)레드로버,콘텐츠,2020,콘텐츠·제작비 자산,2023,계속기업 불확실성,3,,
KAM → 계속기업 불확실성,(주)레드로버,콘텐츠,2020,콘텐츠·제작비 자산,2024,계속기업 불확실성,4,,
KAM → 계속기업 불확실성,(주)레드로버,콘텐츠,2020,콘텐츠·제작비 자산,2025,계속기업 불확실성,5,,
KAM → 계속기업 불확실성,(주)로아앤코홀딩스,콘텐츠,2023,특수관계자거래,2024,계속기업 불확실성,1,,
KAM → 계속기업 불확실성,(주)로아앤코홀딩스,콘텐츠,2023,특수관계자거래,2025,계속기업 불확실성,2,,
KAM → 계속기업 불확실성,(주)아이에이치큐,콘텐츠,2021,영업권 손상,2022,계속기업 불확실성,1,,
KAM → 계속기업 불확실성,(주)아이에이치큐,콘텐츠,2021,영업권 손상,2023,계속기업 불확실성,2,,
KAM → 계속기업 불확실성,(주)애닉,게임,2020,이연법인세,2022,계속기업 불확실성,2,,
KAM → 계속기업 불확실성,(주)애닉,게임,2020,이연법인세,2023,계속기업 불확실성,3,,
KAM → 계속기업 불확실성,한주에이알티(주),콘텐츠,2023,영업권 손상,2024,계속기업 불확실성,1,,
KAM → 계속기업 불확실성,한주에이알티(주),콘텐츠,2024,영업권 손상,2025,계속기업 불확실성,1,,
KAM → 의견변형,(주)드래곤플라이,게임,2023,매출채권·대손,2024,의견변형(의견거절),1,,0.0
KAM → 의견변형,(주)레드로버,콘텐츠,2020,콘텐츠·제작비 자산,2021,의견변형(의견거절),1,,0.0
KAM → 의견변형,(주)레드로버,콘텐츠,2020,콘텐츠·제작비 자산,2022,의견변형(의견거절),2,자산의 실재성·평가,1.0
KAM → 의견변형,(주)레드로버,콘텐츠,2020,콘텐츠·제작비 자산,2023,의견변형(의견거절),3,자산의 실재성·평가,1.0
