corp_code,기업명,군,fy,의견,감사인,사유수,사유,근거단락
00977696,(주)넥스쳐,게임,2019,의견거절,2019년 12월 31일 까지 한영회계법인,2,전기 의견변형 이월(기초잔액)|특수관계자 범위·거래 확인 불가,"(1) 기초연결재무제표에 대한 감사범위 제한 2018년 12월 31일로 종료하는 보고기간의 연결재무제표는 타감사인이 감사하였으며, 2019년 3월 21일자 감사보고서에서 감사의견을 표명하지 아니하였습니다. 의견거절 사유 중 ""(2) 특수관계자의 범위 및 거래내역"" 에 대하여, 우리는 연결회사의 2019년 1월 1일자 연결재무제표에 대한 충분하고 적합한 증거를 확보하지 못하였으며,또한 대체적인 방법에 의하여도 기초연결재무제표에 대해 만족할 만한 결과를 얻지 못하였습니다. 이로 인하여, 기초연결재무제표에 포함되었을 수도 있는 왜곡표시가 2019년 12월 31일 현재의 재무상태 및 동일로 종료하는 보고기간의 재무성과와 현금흐름에 미치는 영향을 결정할 수 없었습니다. (2) 특수관계자와의 범위 및 거래내역 우리는 연결회사가 제시한 특수관계자의 범위 및 특수관계자와의 거래내역에 대하여충분하고 적합한 감사증거를 입수할 수 없었습니다. 또한 대체적인 방법에 의하여도 특수관계자의 범위 및 거래내역에 대해 만족할 만한 결과를 얻지 못하였습니다. 이로인하여 우리는 연결회사의 최상위지배자를 확인할 수 없었으며, 연결회사가 공시하지 아니한 최상위지배자를 포함한 특수관계자와의 거래의 존재 유무 및 관련 거래가 연결재무제표에 미치는 영향이 유의적인지 여부에 대하여 결정할 수 없었습니다."
00977696,(주)넥스쳐,게임,2020,의견거절,2020년 12월 31일 까지 삼덕회계법인,5,전기 의견변형 이월(기초잔액)|계속기업 불확실성의 결과 추정 불가|특수관계자 범위·거래 확인 불가|종속기업 재무정보 미입수|자산의 실재성·평가,"(1) 기초연결재무제표에 대한 감사범위의 제한 2019년 12월 31일로 종료하는 보고기간의 연결재무제표는 타감사인이 감사하였으며, 2020년 4월 6일자 연결감사보고서에서 감사의견을 표명하지 아니하였습니다. 동사유로 인하여, 우리는 연결회사의 2020년 1월 1일자 연결재무제표에 대한 충분하고 적합한 증거를 확보하지 못하였으며, 또한 대체적인 방법에 의하여도 기초연결재무제표에 대해 만족할 만한 결과를 얻지 못하였습니다. 이로 인하여, 기초연결재무제표에 포함되었을 수도 있는 왜곡표시가 2020년 12월 31일 현재의 연결재무상태 및 동일로 종료되는 보고기간의 연결재무성과와 연결현금흐름에 미치는 영향을 결정할 수 없었습니다. (2) 감사범위의 제한 우리는 연결회사가 공시하지 아니한 최상위지배자를 포함한 특수관계자 범위의 적정성 및 관련 거래의 존재 유무와 거래내역 그리고 당기손익-공정가치금융자산, 관계기업투자주식, 신주인수권부사채 등 주요 자산 부채의 분류 및 측정과 관련하여 충분하고 적합한 감사증거를 확보하지 못하였습니다. 또한 종속기업과 관련하여 경영진이 제공한 재무정보에 대한 적정성을 판단하기 위한 충분하고 적합한 감사증거를 확보하지 못하여 대한민국의 회계감사기준에서 요구하고 있는 감사절차를 수행할 수 없었으며, 이로 인하여 연결회사의 연결재무제표 구성요소들에 대하여 수정이 필요한지 여부를 결정할 수 없었습니다. (3) 계속기업 관련 중요한 불확실성 연결회사의 연결재무제표는 연결회사가 계속기업으로서 존속한다는 가정을 전제로 작성되었으므로, 연결회사의 자산과 부채가 정상적인 사업활동과정을 통하여 회수되거나 상환될 수 있다는 가정 하에 회계처리되었습니다. 그러나 연결회사가 제시한 2020년 12월 31일로 종료되는 보고기간의 연결재무제표에 따르면 당기 중 3,271백만원의 당기순손실이 발생하였으며, 당기말 현재 연결회사의 유동부채가 유동자산보다 13,379백만원을 초과하고 있습니다. 이러한 상황은 연결회사의 계속기업으로서의 존속능력에 대해 유의적인 의문을 제기하고 있으며, 연결회사가 계속기업으로서 존속할지의 여부는 연결회사의 향후 재무구조개선계획의 성패에 따라 좌우되는 중요한 불확실성을 내포하고 있습니다. 그러나 이러한 불확실성의 최종결과로 발생될 수도 있는 자산과 부채 및 관련 손익항목에 대한 수정을 위해 이를 합리적으로 추정할 수 있는 감사증거를 확보할 수 없었습니다."
00977696,(주)넥스쳐,게임,2021,의견거절,2020년 12월 31일 까지 삼덕회계법인,5,전기 의견변형 이월(기초잔액)|계속기업 불확실성의 결과 추정 불가|특수관계자 범위·거래 확인 불가|종속기업 재무정보 미입수|자산의 실재성·평가,"(1) 기초연결재무제표에 대한 감사범위의 제한 우리는 2020년 12월 31일로 종료하는 보고기간의 연결재무제표에 대한 2021년 3월 23일자 연결감사보고서에서 감사의견을 표명하지 아니하였습니다. 동 사유로 인하여, 우리는 연결실체의 2021년 1월 1일자 연결재무제표에 대한 충분한 증거를 확보하지 못하였으며, 또한 대체적인 방법에 의하여도 기초연결재무제표에 대해 만족할 만한 결과를 얻지 못하였습니다. 이로 인하여, 기초연결재무제표에 포함되었을 수도 있는 왜곡표시가 2021년 12월 31일 현재의 연결재무상태, 동일로 종료되는 보고기간의 연결재무성과와 연결현금흐름에 미치는 영향을 결정할 수 없었습니다. (2) 감사범위의 제한 우리는 연결회사가 공시하지 아니한 최상위지배자를 포함한 특수관계자 범위의 적정성 및 관련 거래의 존재 유무와 거래내역 그리고 당기손익-공정가치금융자산, 관계기업투자주식, 신주인수권부사채 등 주요 자산 부채의 분류 및 측정과 관련하여 충분하고 적합한 감사증거를 확보하지 못하였습니다. 또한 종속기업과 관련하여 경영진이 제공한 재무정보에 대한 적정성을 판단하기 위한 충분하고 적합한 감사증거를 확보하지 못하여 대한민국의 회계감사기준에서 요구하고 있는 감사절차를 수행할 수 없었으며, 이로 인하여 연결회사의 연결재무제표 구성요소들에 대하여 수정이 필요한지 여부를 결정할 수 없었습니다. (3) 계속기업 관련 중요한 불확실성 연결회사의 연결재무제표는 연결회사가 계속기업으로서 존속한다는 가정을 전제로 작성되었으므로, 연결회사의 자산과 부채가 정상적인 사업활동과정을 통하여 회수되거나 상환될 수 있다는 가정 하에 회계처리되었습니다. 그러나 연결회사가 제시한 2021년 12월 31일로 종료되는 보고기간의 연결재무제표에 따르면 당기말 현재 연결회사의 유동부채가 유동자산보다 7,265백만원을 초과하고 있습니다. 이러한 상황은 연결회사의 계속기업으로서의 존속능력에 대해 유의적인 의문을 제기하고 있으며, 연결회사가 계속기업으로서 존속할지의 여부는 연결회사의 향후 재무구조개선계획의 성패에 따라 좌우되는 중요한 불확실성을 내포하고 있습니다. 그러나 이러한 불확실성의 최종결과로 발생될 수도 있는 자산과 부채 및 관련 손익항목에 대한 수정을 위해 이를 합리적으로 추정할 수 있는 감사증거를 확보할 수 없었습니다."
00977696,(주)넥스쳐,게임,2022,의견거절,2021년 12월 31일 까지 삼덕회계법인,5,전기 의견변형 이월(기초잔액)|계속기업 불확실성의 결과 추정 불가|특수관계자 범위·거래 확인 불가|종속기업 재무정보 미입수|자산의 실재성·평가,"(1) 기초연결재무제표에 대한 감사범위의 제한 우리는 2021년 12월 31일로 종료하는 보고기간의 연결재무제표에 대한 2022년 3월 21일자 연결감사보고서에서 감사의견을 표명하지 아니하였습니다. 동 사유로 인하여, 우리는 연결실체의 2021년 1월 1일자 연결재무제표에 대한 충분한 증거를 확보하지 못하였으며, 또한 대체적인 방법에 의하여도 기초연결재무제표에 대해 만족할 만한 결과를 얻지 못하였습니다. 이로 인하여, 기초연결재무제표에 포함되었을 수도 있는 왜곡표시가 2021년 12월 31일 현재의 연결재무상태, 동일로 종료되는 보고기간의 연결재무성과와 연결현금흐름에 미치는 영향을 결정할 수 없었습니다. (2) 감사범위의 제한 우리는 연결회사가 공시하지 아니한 최상위지배자를 포함한 특수관계자 범위의 적정성 및 관련 거래의 존재 유무와 거래내역 그리고 당기손익-공정가치금융자산, 관계기업투자주식, 신주인수권부사채 등 주요 자산 부채의 분류 및 측정과 관련하여 충분하고 적합한 감사증거를 확보하지 못하였습니다. 또한 종속기업과 관련하여 경영진이 제공한 재무정보에 대한 적정성을 판단하기 위한 충분하고 적합한 감사증거를 확보하지 못하여 대한민국의 회계감사기준에서 요구하고 있는 감사절차를 수행할 수 없었으며, 이로 인하여 연결회사의 연결재무제표 구성요소들에 대하여 수정이 필요한지 여부를 결정할 수 없었습니다.(3) 계속기업 관련 중요한 불확실성연결회사의 연결재무제표는 연결회사가 계속기업으로서 존속한다는 가정을 전제로 작성되었으므로, 연결회사의 자산과 부채가 정상적인 사업활동과정을 통하여 회수되거나 상환될 수 있다는 가정 하에 회계처리되었습니다. 그러나 연결회사가 제시한 2022년 12월 31일로 종료되는 보고기간의 연결재무제표에 따르면 당기말 현재 연결회사의 유동부채가 유동자산보다 16,258백만원을 초과하고 있습니다. 이러한 상황은 연결회사의 계속기업으로서의 존속능력에 대해 유의적인 의문을 제기하고 있으며, 연결회사가 계속기업으로서 존속할지의 여부는 연결회사의 향후 재무구조개선계획의 성패에 따라 좌우되는 중요한 불확실성을 내포하고 있습니다. 그러나 이러한 불확실성의 최종결과로 발생될 수도 있는 자산과 부채 및 관련 손익항목에 대한 수정을 위해 이를 합리적으로 추정할 수 있는 감사증거를 확보할 수 없었습니다."
00977696,(주)넥스쳐,게임,2023,의견거절,2022년 12월 31일 까지 삼덕회계법인,5,전기 의견변형 이월(기초잔액)|계속기업 불확실성의 결과 추정 불가|특수관계자 범위·거래 확인 불가|종속기업 재무정보 미입수|자산의 실재성·평가,"(1) 기초연결재무제표에 대한 감사범위의 제한 우리는 2022년 12월 31일로 종료하는 보고기간의 연결재무제표에 대한 2023년 3월 22일자 연결감사보고서에서 감사의견을 표명하지 아니하였습니다. 동 사유로 인하여, 우리는 연결실체의 2023년 1월 1일자 연결재무제표에 대한 충분한 증거를 확보하지 못하였으며, 또한 대체적인 방법에 의하여도 기초연결재무제표에 대해 만족할 만한 결과를 얻지 못하였습니다. 이로 인하여, 기초연결재무제표에 포함되었을 수도 있는 왜곡표시가 2023년 12월 31일 현재의 연결재무상태, 동일로 종료되는 보고기간의 연결재무성과와 연결현금흐름에 미치는 영향을 결정할 수 없었습니다. (2) 감사범위의 제한 우리는 연결회사가 공시하지 아니한 최상위지배자를 포함한 특수관계자 범위의 적정성 및 관련 거래의 존재 유무와 거래내역 그리고 당기손익-공정가치금융자산, 관계기업투자주식, 신주인수권부사채 등 주요 자산 부채의 분류 및 측정과 관련하여 충분하고 적합한 감사증거를 확보하지 못하였습니다. 또한 종속기업과 관련하여 경영진이 제공한 재무정보에 대한 적정성을 판단하기 위한 충분하고 적합한 감사증거를 확보하지 못하여 대한민국의 회계감사기준에서 요구하고 있는 감사절차를 수행할 수 없었으며, 이로 인하여 연결회사의 연결재무제표 구성요소들에 대하여 수정이 필요한지 여부를 결정할 수 없었습니다.(3) 계속기업 관련 중요한 불확실성연결회사의 연결재무제표는 연결회사가 계속기업으로서 존속한다는 가정을 전제로 작성되었으므로, 연결회사의 자산과 부채가 정상적인 사업활동과정을 통하여 회수되거나 상환될 수 있다는 가정 하에 회계처리되었습니다. 그러나 연결회사가 제시한 2023년 12월 31일로 종료되는 보고기간의 연결재무제표에 따르면 당기말 현재 연결회사의 유동부채가 유동자산보다 16,119백만원을 초과하고 있습니다. 이러한 상황은 연결회사의 계속기업으로서의 존속능력에 대해 유의적인 의문을 제기하고 있으며, 연결회사가 계속기업으로서 존속할지의 여부는 연결회사의 향후 재무구조개선계획의 성패에 따라 좌우되는 중요한 불확실성을 내포하고 있습니다. 그러나 이러한 불확실성의 최종결과로 발생될 수도 있는 자산과 부채 및 관련 손익항목에 대한 수정을 위해 이를 합리적으로 추정할 수 있는 감사증거를 확보할 수 없었습니다."
00977696,(주)넥스쳐,게임,2024,의견거절,별시 강남구 남부순환로 2913 대주회계법인,3,전기 의견변형 이월(기초잔액)|계속기업 불확실성의 결과 추정 불가|자산의 실재성·평가,"(1) 기초연결재무제표에 대한 감사범위의 제한 연결회사의 2023년 12월 31일로 종료하는 보고기간의 연결재무제표는 타감사인이 감사하였으며, 타감사인은 2024년 3월 20일자 감사보고서에서 계속기업전제와 관련된 불확실성, 당기손익-공정가치금융자산, 종속기업 및 관계기업투자주식, 신주인수권부사채 등 주요 자산 부채의 분류 및 측정에 대한 충분하고 적합한 증거를 확보하지 못하였음을 사유로 감사의견을 표명하지 아니하였습니다. 동 사유로 인하여, 우리는 회사의 2024년 1월 1일자 재무제표에 대한 충분한 증거를 확보하지 못하였으며, 또한 대체적인 방법에 의하여도 기초재무제표에 대해 만족할 만한 결과를 얻지 못하였습니다. 이로 인하여, 기초재무제표에 포함되었을 수도 있는 왜곡표시가 2024년 12월 31일 현재의 재무상태, 동일로 종료되는 보고기간의 재무성과와 현금흐름에 미치는 영향을 결정할 수 없었습니다. (2) 감사범위의 제한 우리은 연결회사의 연결재무제표에 인식된 당기손익-공정가치금융자산, 종속기업및관계기업투자주식, 신주인수권부사채 등 주요 자산 부채에 대하여 충분하고 적합한 감사증거를 확보하지 못하여 대한민국의 회계감사기준에서 요구하고 있는 자산의 평가 및 부채의 완전성 등에 대하여 충분하고 적합한감사절차를 수행할 수 없었으며, 이로 인하여 회사의 연결재무제표 구성요소들에 대하여 수정이 필요한지 여부를 결정할 수 없었습니다.(3) 계속기업 관련 중요한 불확실성연결회사의 연결재무제표는 연결회사가 계속기업으로서 존속할 것이라는 가정을 전제로 작성되었습니다. 따라서 자산과 부채를 정상적인 영업활동을 통하여 장부금액을 회수하거나 상환할 수 있다는 가정하에서 회계처리되었습니다. 그러나 지배기업의 2024년 12월 31일로 종료되는 보고기간말 현재 유동부채가 유동자산을 22,018백만원을 초과하고 있고, 이러한 상황은 회사의 계속기업으로서의 존속능력에 대해 유의적인 의문을 제기하고 있으며, 회사가 계속기업으로서 존속할지의 여부는 회사의 향후 재무구조 개선계획의 성패에 따라 좌우되는 중요한 불확실성을 내포하고 있습니다. 그러나 이러한 불확실성의 최종결과로 발생될 수도 있는 자산과 부채 및 관련 손익항목에 대한 수정을 위해 이를 합리적으로 추정할 수 있는 감사증거를 확보할 수 없었습니다."
00230036,(주)드래곤플라이,게임,2024,의견거절,2024년 12월 31일 까지 삼일회계법인,1,계속기업 불확실성의 결과 추정 불가,"연결회사의 연결재무제표는 연결회사가 계속기업으로서 존속한다는 가정을 전제로 작성되었으므로 연결회사의 자산과 부채가 정상적인 사업활동과정을 통하여 회수되거나 상환될 수 있다는 가정 하에 회계처리되었습니다. 그러나 재무제표에 기재된 바와 같이 연결회사는 2024년 12월 31일로 종료되는 보고기간에 9,650백만원의 영업손실과 14,200백만원의 당기순손실 및 6,915백만원의 영업활동 순현금유출이 발생하였습니다. 그리고 보고기간 종료일 현재 유동부채가 유동자산을 4,138백만원 초과하고 있습니다. 이러한 상황은 연결회사의 계속기업으로서의 존속능력에 대하여 유의적인 의문을 초래합니다. 연결회사가 계속기업으로서 존속할지의 여부는 향후 자금조달계획과 경영성과 개선을 통한 재무개선 계획 등의 성패에 따라 좌우되는 중요한 불확실성을 내포하고 있습니다. 그러나 우리는 이러한 불확실성의 최종결과로 발생될 수도 있는 자산과 부채 및 관련 손익항목에 대한 수정을 위해 이를 합리적으로 추정할 수 있는 감사증거를 확보할 수 없었습니다."
00364795,(주)레드로버,콘텐츠,2021,의견거절,2021년 12월 31일 까지 삼화회계법인,1,재무제표·자료 자체 미제시,우리는 연결회사의 경영진으로부터 감사대상 연결재무제표를 제시받지 못하였습니다. 우리는 동 사항에 대한 감사범위의 제한 때문에 대한민국의 회계감사기준에서 요구하는 감사절차를 수행할 수 없었습니다.
00364795,(주)레드로버,콘텐츠,2022,의견거절,2022년 12월 31일 까지 우리회계법인,5,재무제표·자료 자체 미제시|전기 의견변형 이월(기초잔액)|계속기업 불확실성의 결과 추정 불가|매출·수익의 실재성|자산의 실재성·평가,"(1) 기초연결재무제표에 대한 감사범위의 제한2021년 12월 31일로 종료하는 보고기간의 연결재무제표는 타감사인이 감사하였으며, 타감사인은 2022년 5월 13일자 감사보고서에서 감사의견을 표명하지 아니하였습니다. 동 사유로 인하여, 우리는 연결회사의 2022년 1월 1일자 재무제표에 대한 충분한 증거를 확보하지 못하였으며, 또한 대체적인 방법에 의하여도 기초연결재무제표에 대해 만족할 만한 결과를 얻지 못하였습니다. 이로 인하여, 기초연결재무제표에포함되었을 수도있는 왜곡표시가 당기말 현재의 재무상태, 당기의 재무성과와 현금흐름에 미치는 영향을 결정할 수 없었습니다.(2) 주요 감사절차의 제약 우리는 주요 감사절차인 금융자산의 공정가치 평가, 부외부채의 완전성, 법인세 회계처리의 적정성, 유형자산의 손상 검토 등을 수행하기 위한 자료를 제공받지 못하였 고, 채권 실재성 확인을 위한 외부조회, 매출의 실재성 확인을 위한 자료 등을 한정적으로만 입수 할 수 있었으므로 연결회사의 연결재무제표에 대한 감사의견을 형성하기 위해 충분하고 적합한 감사증거를 확보하지 못하였습니다. 이러한 전반적인 감사범위 제한으로 인하여, 우리는 회사의 당기 연결재무제표 구성요소들에 대하여 수정이 필요한지 여부를 결정할 수 없었습니다.(3) 계속기업관련 중요한 불확실성연결회사의 연결재무제표는 연결회사가 계속기업으로서 존속한다는 가정을 전제로 작성되었으므로, 연결회사의 자산과 부채가 정상적인 사업활동과정을 통하여 회수되거나 상환될 수 있다는 가정하에 회계처리 되었습니다. 그러나 연결회사는 보고기간 종료일 현재 영업손실이 2,244백만원이며 당기순손실이 9,231백만원이고, 당기 보고기간말 현재 누적 결손금은 157,880백만원입니다. 이러한 상황은 계속기업으로서 그 존속능력에 유의적 의문을 제기하고 있습니다. 연결회사가 계속기업으로서 존속할 지의 여부는 부채상환과 기타 자금수요를 위해 필요한 자금조달계획과 재무 및 경영개선계획의 최종결과에 따라 좌우되는 중요한 불확실성을 내포하고 있습니다. 그러나 우리는 이러한 불확실성의 최종결과로 발생될 수도 있는 자산과 부채 및 관련 손익항목에 대한 수정을 위해 이를 합리적으로 추정할 수 있는 감사증거를 확보할 수없었습니다."
00364795,(주)레드로버,콘텐츠,2023,의견거절,2023년 12월 31일 까지 세덕회계법인,5,재무제표·자료 자체 미제시|전기 의견변형 이월(기초잔액)|계속기업 불확실성의 결과 추정 불가|매출·수익의 실재성|자산의 실재성·평가,"(1) 기초재무제표에 대한 감사범위의 제한 2022년 12월 31일로 종료하는 보고기간의 재무제표는 타감사인이 감사하였으며, 타감사인은 2023년 3월 22일자 감사보고서에서 감사의견을 표명하지 아니하였습니다. 동 사유로 인하여, 우리는 회사의 2023년 1월 1일자 재무제표에 대한 충분한 증거를 확보하지 못하였으며, 또한 대체적인 방법에 의하여도 기초재무제표에 대해 만족할 만한 결과를 얻지 못하였습니다. 이로 인하여, 기초재무제표에 포함되었을 수도있는 왜곡표시가 당기말 현재의 재무상태, 당기의 재무성과와 현금흐름에 미치는 영향을 결정할 수 없었습니다. (2) 주요 감사절차의 제약우리는 주요 감사절차인 금융자산의 공정가치 평가 , 부외부채의 완전성, 법인세 회계처리의 적정성, 유형자산의 손상 검토 등을 수행하기 위한 자료를 제공받지 못하였 고, 채권 실재성 확인을 위한 외부조회, 매출의 실재성 확인을 위한 자료 등을 한정적으로만 입수 할 수 있었으므로 회사의 재무제표에 대한 감사의견을 형성하기 위해 충분하고 적합한 감사증거를 확보하지 못하였습니다. 이러한 전반적인 감사범위 제한으로 인하여, 우리는 회사의 당기 재무제표 구성요소들에 대하여 수정이 필요한지 여부를 결정할 수 없었습니다. (3) 계속기업관련 중요한 불확실성회사의 재무제표는 회사가 계속기업으로서 존속한다는 가정을 전제로 작성되었으므로 , 회사의 자산과 부채가 정상적인 사업활동과정을 통하여 회수되거나 상환될 수 있다는 가정하에 회계처리 되었습니다. 그러나 회사는 당기 보고기간 현재 영업손실이 1,589백만원이며 당기순손실이 594백만원이고, 당기 보고기간말 현재 누적 결손금은 158,673백만원입니다. 이러한 상황은 계속기업으로서 그 존속능력에 유의적 의문을 제기하고 있습니다. 회사가 계속기업으로서 존속할 지의 여부는 부채상환과 기타 자금수요를 위해 필요한 자금조달계획과 재무 및 경영개선계획의 최종결과에 따라 좌우되는 중요한 불확실성을 내포하고 있습니다. 그러나 우리는 이러한 불확실성의 최종결과로 발생될 수도 있는 자산과 부채 및 관련 손익항목에 대한 수정을 위해 이를 합리적으로 추정할 수 있는 감사증거를 확보할 수 없었습니다."
